Title,Address,Phone,country_code,Website,Emails
NEC- Nepal Education Consultancy Pvt. Ltd,"Opposite of Star Mall, Putali Sadak, काठमाडौँ 44600",+97715910770,977,https://nepalec.edu.np,inquiry@nepalec.edu.np
एईसीसी ग्लोबल,"Sunrise Bizz Park, Kamal Pokhari Marg 33, काठमाडौँ 44600",+97715970315,977,https://aeccglobal.com.np,null
द नेक्स्ट एडुकेसन कन्सल्टेन्सी,"Dilibazaar, काठमाडौँ 44600",+97714010522,977,https://thenext.edu.np,info@thenext.edu.np
NIEC - Nepal International Educational Consultancy,काठमाडौँ 44600,+97715356600,977,https://niec.edu.np,info@niec.edu.np
CIC Education Hub,काठमाडौँ 44600,+9779851180403,977,https://ciceducationhub.com,null
Popular Consultancy,"Kathmandu, Putalisadak-Way to Dillibazar, काठमाडौँ 44600",+97715907559,977,https://popularconsultancy.com,null
CIC Education Hub – New Baneshwor Branch,"Ktm, काठमाडौँ 44600",+97714560127,977,https://ciceducationhub.com,null
GPC Nepal Edu. Consultancy Pvt. Ltd.,"NAME Gate, Ram Shah Path, काठमाडौँ 44600",,NP,https://gpcnepal.com.np,null
Expert Education & Visa Services,"P83C+3W3 opposite to Nabil Bank, काठमाडौँ 44600",+97715318666,977,https://experteducation.com.np,null
Edwise Foundation,"Shubhashree Complex 6th & 7th floor, New Plaza Rd, काठमाडौँ 44600",+97714528908,977,https://edwisefoundation.com,null
इन्फरम्याटिक्स कन्सलटेन्सी,"House no. 45, रामशाह पथ, काठमाडौँ 44600",+97715903993,977,https://infoconsultant.edu.np,null
ग्लोबल रिच,"dilli bazaar rd Punya Mansion (2nd Floor), next to Batule Ghar, Dillibazar, काठमाडौँ 44600",+97714544071,977,https://globalreachonline.com,null
Ultimate Consultancy & Advisory Network (UCAN),"Opposite to Nepal Investment Mega Bank, Ground Floor, काठमाडौँ 44600",+97715348286,977,https://ucanlogin.com,null
WRI Education Consultancy,"West gate of BICC next to Nabil Bank, काठमाडौँ 44600",+9779801133995,977,https://wrieducation.com,null
Studylane International,"Bajra Complex 4th Floor, New Plaza Rd, काठमाडौँ 44600",+97714010645,977,https://studylanenepal.com,null
SD Miracle Head Office,"बाग बजार सडक, काठमाडौँ 44600",+97715358568,977,https://sdmiracle.com.np,null
Best Consultancy Nepal,काठमाडौँ 44600,+9779804495818,977,https://bestconsultancy.edu.np,null
"TBG Nepal Education Consultancy | Study Abroad from Nepal | Study in UK, USA, Canada, Australia","Evo Store IT Plaza, Above, काठमाडौँ 44605",+9779801111169,977,https://tbgnepal.com,null
Valley International Consultancy,काठमाडौँ 44600,+97715351511,977,,null
Uni Ladder Consultancy,"Himalayan Pinewood 4th Floor - Side to Krishna Pauroti Hattisar Chowk, काठमाडौँ 44600",+9779818704046,977,https://ukuniladder.com,null
ल्यान्डमार्क शिक्षा,"Level 5, IT Plaza, काठमाडौँ 44600",+97714542781,977,https://landmarkedu.com,null
KTM Educational Consultancy Pvt Ltd,काठमाडौँ 44600,+97714526263,977,https://ktmeducational.edu.np,null
OPTION EDUCATIONAL CONSULTANCY PVT LTD,"Ground Floor, AB Complex, Padmodaya Mode, काठमाडौँ 44605",+97714224894,977,https://optionedu.com,null
Maven Consulting Group,"Rara Complex, काठमाडौँ 44600",+97715908411,977,https://mymavenedu.com,null
जीवन्त परामर्शदाता,"House No.: 347, Devkota Sadak, New Baneshwor, काठमाडौँ 44600",+97715914398,977,https://vividconsultants.com.np,null
एई ग्लोबल प्रा। लिमिटेड (एई नेपाल),"Behind Shrestha Photocopy Near Valley Hospital, काठमाडौँ 44600",+9779851012055,977,https://aeglobal.net,null
Goreto Educational Consultancy,"New Baneshwor Chowk, काठमाडौँ 44600",+97714583252,977,https://goreto.edu.np,null
डल्फिन एजुकेसन कन्सल्टेन्सी,"4th floor BJ Bhawan, प्रदर्शनी मार्ग 44600, काठमाडौँ 44600",+9779801811555,977,https://dolphineducation.com.np,null
A One Global Consultants,"1st and 4th Floor of Samsung Smart Plaza, काठमाडौँ 44600",+97715903756,977,https://theaoneglobal.com,null
Global Opportunities Nepal,"6th Floor of Nepal Bank / Kumari Bank, Opposite of BICC, काठमाडौँ 44600",+9779802320999,977,https://globalopportunitiesnepal.com,null
प्रोफेसनल एजुकेसन कन्सल्टेन्सी,"ShreeKrishna Sadan, काठमाडौँ 44600",+97714795339,977,,null
प्लाटिनम एजुकेसनल कन्सल्टेन्सी प्रा. लि.,"Dillibazar Sadak, काठमाडौँ 44605",+97714523085,977,https://platinumeducation.edu.np,null
CSC Global - Best Consultancy in Nepal,"Ward No: 32, काठमाडौँ",+97715368547,977,https://csc.edu.np,null
मिशनरी अमेरिका शैक्षिक परामर्श प्रा लिमिटेड,"Mission USA Education, Beside Star Mall, Sai Sadan Building 2nd Floor, काठमाडौँ 44060",+9779851057778,977,https://missionusa.edu.np,null
Kavya Global Network Nepal | #1 Brand for Study in USA and Australia,"Gate, काठमाडौँ 44600",+9779860233416,977,https://kavyaglobalnetwork.com.np,null
